2025-10-16T16:04:38.000000000Z [inf]  Starting Container
2025-10-16T16:04:39.088123844Z [err]  [2025-10-16 16:04:38 +0000] [1] [INFO] Starting gunicorn 21.2.0
2025-10-16T16:04:39.088130177Z [err]  [2025-10-16 16:04:38 +0000] [1] [INFO] Listening at: http://0.0.0.0:8080 (1)
2025-10-16T16:04:39.088136835Z [err]  [2025-10-16 16:04:38 +0000] [1] [INFO] Using worker: sync
2025-10-16T16:04:39.088143004Z [err]  [2025-10-16 16:04:38 +0000] [2] [INFO] Booting worker with pid: 2
2025-10-16T16:04:39.088151426Z [err]  [2025-10-16 16:04:38 +0000] [3] [INFO] Booting worker with pid: 3
2025-10-16T16:04:39.138337719Z [inf]  ✅ Replicate provider enabled (PRIMARY - budget-friendly)
2025-10-16T16:04:39.138345100Z [inf]  ✅ PiAPI provider enabled (FALLBACK - 99.9% uptime SLA)
2025-10-16T16:04:39.138350005Z [inf]  🔌 Face Swap Gateway initialized with 2 provider(s)
2025-10-16T16:04:39.138354742Z [inf]  📊 Provider priority: Replicate → PiAPI
2025-10-16T16:04:39.217090261Z [inf]  ✅ Replicate provider enabled (PRIMARY - budget-friendly)
2025-10-16T16:04:39.217097221Z [inf]  ✅ PiAPI provider enabled (FALLBACK - 99.9% uptime SLA)
2025-10-16T16:04:39.217102049Z [inf]  🔌 Face Swap Gateway initialized with 2 provider(s)
2025-10-16T16:04:39.217107161Z [inf]  📊 Provider priority: Replicate → PiAPI
2025-10-16T16:06:19.386220814Z [inf]  📥 [FACE_SWAP] Received request
2025-10-16T16:06:19.386228869Z [inf]  🖼️  [FACE_SWAP] Target: data:image/jpeg;base64,/9j/4AAQSkZJRgABAQEASABIAAD...
2025-10-16T16:06:19.386235274Z [inf]  👤 [FACE_SWAP] Source: data:image/jpeg;base64,/9j/4QL0RXhpZgAATU0AKgAAAAg...
2025-10-16T16:06:19.386242505Z [inf]  🚀 [FACE_SWAP] Calling gateway...
2025-10-16T16:06:19.386249141Z [inf]  🔄 Trying provider: Replicate
2025-10-16T16:06:19.386255838Z [inf]  🔄 [REPLICATE] Trying easel/advanced-face-swap (timeout=90s)...
2025-10-16T16:06:24.263963107Z [inf]  ⚠️ [REPLICATE] easel/advanced-face-swap failed: ModelError: No output images were generated
2025-10-16T16:06:24.263972653Z [inf]  🔄 [REPLICATE] Trying omniedgeio/face-swap (timeout=60s)...
2025-10-16T16:06:26.193429777Z [inf]  ⚠️ [REPLICATE] omniedgeio/face-swap failed: ReplicateError: ReplicateError Details:
2025-10-16T16:06:26.193439095Z [inf]  status: 404
2025-10-16T16:06:26.193444940Z [inf]  detail: The requested resource could not be found.
2025-10-16T16:06:26.193451029Z [inf]  ⚠️ Provider Replicate failed: All Replicate models failed or timed out
2025-10-16T16:06:26.193455999Z [inf]  ⏳ Retry 1/2 after 2s...
2025-10-16T16:06:28.200612864Z [inf]  🔄 [REPLICATE] Trying easel/advanced-face-swap (timeout=90s)...
2025-10-16T16:06:30.693393418Z [inf]  ⚠️ [REPLICATE] easel/advanced-face-swap failed: ModelError: No output images were generated
2025-10-16T16:06:30.693402718Z [inf]  🔄 [REPLICATE] Trying omniedgeio/face-swap (timeout=60s)...
2025-10-16T16:06:32.237671118Z [inf]  ⚠️ [REPLICATE] omniedgeio/face-swap failed: ReplicateError: ReplicateError Details:
2025-10-16T16:06:32.237678667Z [inf]  status: 404
2025-10-16T16:06:32.237684982Z [inf]  detail: The requested resource could not be found.
2025-10-16T16:06:32.237690245Z [inf]  ⚠️ Provider Replicate failed: All Replicate models failed or timed out
2025-10-16T16:06:32.237696000Z [inf]  ⏳ Retry 2/2 after 4s...
2025-10-16T16:06:36.237672858Z [inf]  🔄 [REPLICATE] Trying easel/advanced-face-swap (timeout=90s)...
2025-10-16T16:06:39.905659646Z [inf]  ⚠️ [REPLICATE] easel/advanced-face-swap failed: ModelError: No output images were generated
2025-10-16T16:06:39.905668777Z [inf]  🔄 [REPLICATE] Trying omniedgeio/face-swap (timeout=60s)...
2025-10-16T16:06:40.708150927Z [inf]  ⚠️ [REPLICATE] omniedgeio/face-swap failed: ReplicateError: ReplicateError Details:
2025-10-16T16:06:40.708155456Z [inf]  status: 404
2025-10-16T16:06:40.708159842Z [inf]  detail: The requested resource could not be found.
2025-10-16T16:06:40.708164070Z [inf]  ⚠️ Provider Replicate failed: All Replicate models failed or timed out
2025-10-16T16:06:40.708169219Z [inf]  🔄 Trying provider: PiAPI
2025-10-16T16:06:40.708175167Z [inf]  🚀 [PIAPI] Starting image face swap...
2025-10-16T16:06:40.708181774Z [inf]  🔧 [PIAPI] Stripped data URI prefix, using raw base64
2025-10-16T16:06:40.708187312Z [inf]  🔧 [PIAPI] Stripped data URI prefix, using raw base64
