2025-10-16T17:41:02.000000000Z [inf]  Starting Container
2025-10-16T17:41:02.399589962Z [err]  [2025-10-16 17:41:02 +0000] [1] [INFO] Starting gunicorn 21.2.0
2025-10-16T17:41:02.399597353Z [err]  [2025-10-16 17:41:02 +0000] [1] [INFO] Listening at: http://0.0.0.0:8080 (1)
2025-10-16T17:41:02.401139341Z [err]  [2025-10-16 17:41:02 +0000] [1] [INFO] Using worker: sync
2025-10-16T17:41:02.401146653Z [err]  [2025-10-16 17:41:02 +0000] [2] [INFO] Booting worker with pid: 2
2025-10-16T17:41:02.401151611Z [err]  [2025-10-16 17:41:02 +0000] [3] [INFO] Booting worker with pid: 3
2025-10-16T17:41:02.601151591Z [inf]  ✅ Replicate provider enabled (PRIMARY - budget-friendly)
2025-10-16T17:41:02.601158790Z [inf]  ✅ PiAPI provider enabled (FALLBACK - 99.9% uptime SLA)
2025-10-16T17:41:02.601164593Z [inf]  🔌 Face Swap Gateway initialized with 2 provider(s)
2025-10-16T17:41:02.601170374Z [inf]  📊 Provider priority: Replicate → PiAPI
2025-10-16T17:41:02.672284331Z [inf]  ✅ Replicate provider enabled (PRIMARY - budget-friendly)
2025-10-16T17:41:02.672289099Z [inf]  ✅ PiAPI provider enabled (FALLBACK - 99.9% uptime SLA)
2025-10-16T17:41:02.672295556Z [inf]  🔌 Face Swap Gateway initialized with 2 provider(s)
2025-10-16T17:41:02.672300548Z [inf]  📊 Provider priority: Replicate → PiAPI
2025-10-16T17:51:23.077062619Z [inf]  📥 [FACE_SWAP] Received request
2025-10-16T17:51:23.077073411Z [inf]  🖼️  [FACE_SWAP] Target: data:image/jpeg;base64,/9j/4AAQSkZJRgABAQEAeAB4AAD...
2025-10-16T17:51:23.077080936Z [inf]  👤 [FACE_SWAP] Source: data:image/jpeg;base64,/9j/4QBqRXhpZgAATU0AKgAAAAg...
2025-10-16T17:51:23.077087913Z [inf]  🚀 [FACE_SWAP] Calling gateway...
2025-10-16T17:51:23.077094621Z [inf]  🔄 Trying provider: Replicate
2025-10-16T17:51:23.077103860Z [inf]  🔄 [REPLICATE] Trying easel/advanced-face-swap (timeout=90s)...
2025-10-16T17:52:53.110324581Z [inf]  ⏱️ [REPLICATE] easel/advanced-face-swap timeout (90s)
2025-10-16T17:52:53.110329273Z [inf]  🔄 [REPLICATE] Trying omniedgeio/face-swap (timeout=60s)...
2025-10-16T17:52:53.110333741Z [inf]  ⚠️ [REPLICATE] omniedgeio/face-swap failed: ReplicateError: ReplicateError Details:
2025-10-16T17:52:53.110337758Z [inf]  status: 404
2025-10-16T17:52:53.110342035Z [inf]  detail: The requested resource could not be found.
2025-10-16T17:52:53.110346003Z [inf]  ⚠️ Provider Replicate failed: All Replicate models failed or timed out
2025-10-16T17:52:53.110350915Z [inf]  ⏳ Retry 1/2 after 2s...
2025-10-16T17:52:53.110356488Z [inf]  🔄 [REPLICATE] Trying easel/advanced-face-swap (timeout=90s)...
2025-10-16T17:53:43.129184091Z [inf]  📥 [FACE_SWAP] Received request
2025-10-16T17:54:23.109677903Z [inf]  ⏱️ [REPLICATE] easel/advanced-face-swap timeout (90s)
2025-10-16T17:54:23.109685786Z [inf]  🔄 [REPLICATE] Trying omniedgeio/face-swap (timeout=60s)...
2025-10-16T17:54:23.109690946Z [inf]  ⚠️ [REPLICATE] omniedgeio/face-swap failed: ReplicateError: ReplicateError Details:
2025-10-16T17:54:23.109695684Z [inf]  status: 404
2025-10-16T17:54:23.109700588Z [inf]  detail: The requested resource could not be found.
2025-10-16T17:54:23.109705169Z [inf]  ⚠️ Provider Replicate failed: All Replicate models failed or timed out
2025-10-16T17:54:23.109709936Z [inf]  ⏳ Retry 2/2 after 4s...
2025-10-16T17:54:23.109715160Z [inf]  🔄 [REPLICATE] Trying easel/advanced-face-swap (timeout=90s)...
2025-10-16T17:54:28.902660091Z [inf]  🖼️  [FACE_SWAP] Target: data:image/jpeg;base64,/9j/4AAQSkZJRgABAQEAeAB4AAD...
2025-10-16T17:54:28.902666130Z [inf]  👤 [FACE_SWAP] Source: data:image/jpeg;base64,/9j/4QBqRXhpZgAATU0AKgAAAAg...
2025-10-16T17:54:28.902671798Z [inf]  🚀 [FACE_SWAP] Calling gateway...
2025-10-16T17:54:28.902679430Z [inf]  🔄 Trying provider: Replicate
2025-10-16T17:54:28.902685813Z [inf]  🔄 [REPLICATE] Trying easel/advanced-face-swap (timeout=90s)...
